error_distancesLinear_12,error_distancesSVM_12,error_distancesDecision Tree_12,error_distancesRandom Forest_12,error_distancesGradient Boosting_12,error_distancesLinear_24,error_distancesSVM_24,error_distancesDecision Tree_24,error_distancesRandom Forest_24,error_distancesGradient Boosting_24,error_distancesLinear_36,error_distancesSVM_36,error_distancesDecision Tree_36,error_distancesRandom Forest_36,error_distancesGradient Boosting_36,error_distancesLinear_48,error_distancesSVM_48,error_distancesDecision Tree_48,error_distancesRandom Forest_48,error_distancesGradient Boosting_48,error_distancesLinear_72,error_distancesSVM_72,error_distancesDecision Tree_72,error_distancesRandom Forest_72,error_distancesGradient Boosting_72,error_distancesLinear_96,error_distancesSVM_96,error_distancesDecision Tree_96,error_distancesRandom Forest_96,error_distancesGradient Boosting_96,error_distancesLinear_120,error_distancesSVM_120,error_distancesDecision Tree_120,error_distancesRandom Forest_120,error_distancesGradient Boosting_120
1.2626084488627334e-12,8.381354227678447,4.763934567702487e-13,2.8572424461220315e-13,0.06203729917088146,1.2626084488627334e-12,8.381354227678447,4.763934567702487e-13,2.8572424461220315e-13,0.06203729917088146,1.2626084488627334e-12,8.381354227678447,4.763934567702487e-13,2.8572424461220315e-13,0.06203729917088146,1.2626084488627334e-12,8.381354227678447,4.763934567702487e-13,2.8572424461220315e-13,0.06203729917088146,1.2626084488627334e-12,8.381354227678447,4.763934567702487e-13,2.8572424461220315e-13,0.06203729917088146,1.2626084488627334e-12,8.381354227678447,4.763934567702487e-13,2.8572424461220315e-13,0.06203729917088146,1.2626084488627334e-12,8.381354227678447,4.763934567702487e-13,2.8572424461220315e-13,0.06203729917088146
1.2543724422694287e-12,8.36605973535927,9.624303064050622e-13,5.983352312645075e-12,0.06695958147631079,1.2543724422694287e-12,8.36605973535927,9.624303064050622e-13,5.5749577779083014e-12,0.06695958147631079,1.2543724422694287e-12,8.36605973535927,9.624303064050622e-13,5.5749577779083014e-12,0.06695958147631079,1.2543724422694287e-12,8.36605973535927,9.624303064050622e-13,5.983352312645075e-12,0.06695958147631079,1.2543724422694287e-12,8.36605973535927,9.624303064050622e-13,5.983352312645075e-12,0.06695958147631079,1.2543724422694287e-12,8.36605973535927,9.624303064050622e-13,5.983352312645075e-12,0.06695958147631079,1.2543724422694287e-12,8.36605973535927,9.624303064050622e-13,5.5749577779083014e-12,0.06695958147631079
1.754424514045338e-12,8.345466526975093,2.857242446122031e-13,2.9783012139173435e-12,0.029676508319595733,1.754424514045338e-12,8.345466526975093,2.857242446122031e-13,2.9783012139173435e-12,0.029676508319595733,1.754424514045338e-12,8.345466526975093,2.857242446122031e-13,2.9783012139173435e-12,0.029676508319595733,1.754424514045338e-12,8.345466526975093,2.857242446122031e-13,2.9783012139173435e-12,0.029676508319595733,1.754424514045338e-12,8.345466526975093,2.857242446122031e-13,2.9783012139173435e-12,0.029676508319595733,1.754424514045338e-12,8.345466526975093,2.857242446122031e-13,2.9783012139173435e-12,0.029676508319595733,1.754424514045338e-12,8.345466526975093,2.857242446122031e-13,2.9783012139173435e-12,0.029676508319595733
1.754424514045338e-12,8.345466526975093,2.857242446122031e-13,2.9783012139173435e-12,0.029676508319595733,1.754424514045338e-12,8.345466526975093,2.857242446122031e-13,2.9783012139173435e-12,0.029676508319595733,1.754424514045338e-12,8.345466526975093,2.857242446122031e-13,2.9783012139173435e-12,0.029676508319595733,1.754424514045338e-12,8.345466526975093,2.857242446122031e-13,2.9783012139173435e-12,0.029676508319595733,1.754424514045338e-12,8.345466526975093,2.857242446122031e-13,2.9783012139173435e-12,0.029676508319595733,1.754424514045338e-12,8.345466526975093,2.857242446122031e-13,2.9783012139173435e-12,0.029676508319595733,1.754424514045338e-12,8.345466526975093,2.857242446122031e-13,2.9783012139173435e-12,0.029676508319595733
4.2285846121884056e-13,415.5947182994857,0.0,41.26688451613816,0.1744255654885277,4.2285846121884056e-13,415.5947182994857,0.0,41.26688451613816,0.1744255654885277,4.2285846121884056e-13,415.5947182994857,0.0,41.26688451613816,0.1744255654885277,4.2285846121884056e-13,415.5947182994857,0.0,41.26688451613807,0.1744255654885277,4.2285846121884056e-13,415.5947182994857,0.0,41.26688451613807,0.1744255654885277,4.2285846121884056e-13,415.5947182994857,0.0,41.26688451613807,0.1744255654885277,4.2285846121884056e-13,415.5947182994857,0.0,41.26688451613807,0.1744255654885277
0.0,8.365987161879595,5.196222205400663e-13,1.5386154822368234e-12,0.07298075249177174,0.0,8.365987161879595,5.196222205400663e-13,1.5386154822368234e-12,0.07298075249177174,0.0,8.365987161879595,5.196222205400663e-13,1.5386154822368234e-12,0.07298075249177174,0.0,8.365987161879595,5.196222205400663e-13,1.5386154822368234e-12,0.07298075249177174,0.0,8.365987161879595,5.196222205400663e-13,1.5386154822368234e-12,0.07298075249177174,0.0,8.365987161879595,5.196222205400663e-13,1.5386154822368234e-12,0.07298075249177174,0.0,8.365987161879595,5.196222205400663e-13,1.5386154822368234e-12,0.07298075249177174
1.7496994038422812e-12,8.411032894544187,9.524141487073441e-14,6.002490201339816e-12,0.2482406296473529,1.7496994038422812e-12,8.411032894544187,9.524141487073441e-14,6.002490201339816e-12,0.2482406296473529,1.7496994038422812e-12,8.411032894544187,9.524141487073441e-14,6.002490201339816e-12,0.2482406296473529,1.7496994038422812e-12,8.411032894544187,9.524141487073441e-14,6.002490201339816e-12,0.2482406296473529,1.7496994038422812e-12,8.411032894544187,9.524141487073441e-14,6.002490201339816e-12,0.2482406296473529,1.7496994038422812e-12,8.411032894544187,9.524141487073441e-14,6.002490201339816e-12,0.2482406296473529,1.7496994038422812e-12,8.411032894544187,9.524141487073441e-14,6.002490201339816e-12,0.2482406296473529
4.3864489138961794e-13,155.29642512198978,3.950575141380079e-13,2.9391157421012496e-12,0.17135043949774506,4.3864489138961794e-13,155.29642512198978,3.950575141380079e-13,2.9391157421012496e-12,0.17135043949774506,4.3864489138961794e-13,155.29642512198978,3.950575141380079e-13,2.9391157421012496e-12,0.17135043949774506,4.3864489138961794e-13,155.29642512198978,3.950575141380079e-13,2.9391157421012496e-12,0.17135043949774506,4.3864489138961794e-13,155.29642512198978,3.950575141380079e-13,2.9391157421012496e-12,0.17135043949774506,4.3864489138961794e-13,155.29642512198978,3.950575141380079e-13,2.9391157421012496e-12,0.17135043949774506,4.3864489138961794e-13,155.29642512198978,3.950575141380079e-13,2.9391157421012496e-12,0.17135043949774506
0.0,158.52833132808618,8.103144392899903e-13,7.292829953609913e-12,0.05028328531581759,0.0,158.52833132808618,8.103144392899903e-13,7.292829953609913e-12,0.05028328531581759,0.0,158.52833132808618,8.103144392899903e-13,7.292829953609913e-12,0.05028328531581759,0.0,158.52833132808618,8.103144392899903e-13,7.292829953609913e-12,0.05028328531581759,0.0,158.52833132808618,8.103144392899903e-13,7.292829953609913e-12,0.05028328531581759,0.0,158.52833132808618,8.103144392899903e-13,7.292829953609913e-12,0.05028328531581759,0.0,158.52833132808618,8.103144392899903e-13,7.292829953609913e-12,0.05028328531581759
5.639861363004397e-13,8.378889889088944,8.79187336498897e-13,1.6534987847652953e-12,0.021280579849313953,5.639861363004397e-13,8.378889889088944,8.79187336498897e-13,1.5718664154398352e-12,0.021280579849313953,5.639861363004397e-13,8.378889889088944,8.79187336498897e-13,1.6534987847652953e-12,0.021280579849313953,5.639861363004397e-13,8.378889889088944,8.79187336498897e-13,1.5718664154398352e-12,0.021280579849313953,5.639861363004397e-13,8.378889889088944,8.79187336498897e-13,1.5718664154398352e-12,0.021280579849313953,5.639861363004397e-13,8.378889889088944,8.79187336498897e-13,1.5718664154398352e-12,0.021280579849313953,5.639861363004397e-13,8.378889889088944,8.79187336498897e-13,1.5718664154398352e-12,0.021280579849313953
